 Online PassKey,Διαδικτυακό PassKey,
 Purchase Value,Αξία αγοράς,
 Quoted Amount,Ποσό που αναφέρεται,
 Sales Value,Αξία πωλήσεων,
 Total Sales Amount,Συνολικό ποσό πωλήσεων,
 choose the 'Naming Series' option.,ορίστε την επιλογή &quot;Naming Series&quot;.,
 days.,μέρες.,
 from {0},από {0},
 out of {0},από {0},
 to know more,να μάθω περισσότερα,
 to {0},σε {0},
"""Customer Provided Item"" cannot be Purchase Item also","""Στοιχείο που παρέχεται από τον πελάτη"" δεν μπορεί να είναι  επίσης στοιχείο αγοράς",
"""Customer Provided Item"" cannot have Valuation Rate","Το ""Στοιχείο που παρέχεται από πελάτη"" δεν μπορεί να έχει Τιμή εκτίμησης",
"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item","""Είναι πάγιο περιουσιακό στοιχείο"" δεν μπορεί να από επιλεχθεί επειδή έχει καταχωρημένες έγγραφες",
%  Delivered,Παραδόθηκε%,
% Amount Billed,Ποσό που χρεώνεται%,
% Billed,% που χρεώθηκε,
% Complete,% Πλήρης,
% Complete Method,% Πλήρης μέθοδος,
% Completed,% Ολοκληρώθηκε,
% Installed,% Εγκατεστημένο,
% Of Grand Total,% Του συνολικού συνόλου,
% Ordered,% Παραγγέλθηκαν,
% Progress,Πρόοδος %,
% Received,% Παραλήφθηκε,
% of materials billed against this Sales Order,% Των υλικών που χρεώθηκαν σε αυτήν την παραγγελία πώλησης,
% of materials delivered against this Delivery Note,% Των υλικών που παραδίδονται σε αυτό το δελτίο αποστολής,
% of materials delivered against this Sales Order,% Των υλικών που παραδόθηκαν σε αυτήν την παραγγελία πώλησης,
'Based On' and 'Group By' can not be same,Τα πεδία με βάση και ομαδοποίηση κατά δεν μπορεί να είναι ίδια,
'Date' is required,Απαιτείται η &quot;Ημερομηνία&quot;,
'Days Since Last Order' must be greater than or equal to zero,Οι 'ημέρες από την τελευταία παραγγελία' πρέπει να είναι περισσότερες από 0,
'Entries' cannot be empty,Οι καταχωρήσεις δεν μπορεί να είναι κενές,
'From Date' is required,"To πεδίο ""από ημερομηνία"" είναι απαραίτητο.",
'From Date' must be after 'To Date',"Το πεδίο ""Από Ημερομηνία"" πρέπει να είναι μεταγενέστερο από το πεδίο ""Έως Ημερομηνία""",
'Has Serial No' can not be 'Yes' for non-stock item,"Το πεδίο ""Έχει Σειριακό Αριθμό"" δεν μπορεί να είναι ""Ναι"" για μη αποθηκεύσιμα είδη.",
'Opening',«Άνοιγμα»,
'To Case No.' cannot be less than 'From Case No.',Το πεδίο έως αριθμό υπόθεσης δεν μπορεί να είναι μικρότερο του πεδίου από αριθμό υπόθεσης,
'To Date' is required,Το πεδίο 'έως ημερομηνία' είναι απαραίτητο.,
'Update Stock' can not be checked because items are not delivered via {0},Η ενημέρωση της αποθήκης  δεν μπορεί να επιλεγεί επειδή τα στοιχεία δεν παραδίδονται μέσω {0},
'Update Stock' cannot be checked for fixed asset sale,«Ενημέρωση Χρηματιστήριο» δεν μπορεί να ελεγχθεί για σταθερή την πώληση περιουσιακών στοιχείων,
'employee_field_value' and 'timestamp' are required.,&#39;employee_field_value&#39; και &#39;timestamp&#39; απαιτείται.,
(Ca+Mg)/K,(Ca + Mg) / Κ,
(Forecast),(Πρόβλεψη),
(Half Day),(Μισή ημέρα),
(Hour Rate / 60) * Actual Operation Time,(Ώρα / 60) * Πραγματικός χρόνος λειτουργίας,
(Serial No: {0}) cannot be consumed as it's reserverd to fullfill Sales Order {1}.,"(Σειριακός αριθμός: {0}) δεν μπορεί να καταναλωθεί, καθώς πρόκειται για πλήρωση της παραγγελίας πωλήσεων {1}.",
(including),(συμπεριλαμβανομένου),
) for {0},) για {0},
* Will be calculated in the transaction.,* Θα υπολογίζεται στη συναλλαγή.,
**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,** Η χρήση ** αντιπροσωπεύει ένα οικονομικό έτος. Όλες οι λογιστικές εγγραφές και άλλες σημαντικές συναλλαγές παρακολουθούνται ανά ** χρήση **.,
**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,"** Μηνιαία Κατανομή ** σας βοηθά να διανείμετε το Οικονομικό / Target σε όλη μήνες, αν έχετε την εποχικότητα στην επιχείρησή σας.",
...Adding Article to Topics,... Προσθήκη άρθρου σε θέματα,
...Adding Course to Programs,... Προσθήκη μαθήματος σε προγράμματα,
...Adding Quiz to Topics,... Προσθήκη κουίζ στα θέματα,
...Adding Topic to Courses,... Προσθήκη θέματος σε μαθήματα,
1 Loyalty Points = How much base currency?,1 Πόντος αφοσίωσης= Πόσο βασικό νόμισμα;,
1 hr,1 ώρα,
194A,194Α,
194C,194C,
194D,194D,
194H,194Η,
194I,194Ι,
194J,194J,
194LA,194LA,
194LBB,194LBB,
194LBC,194LBC,
2 Yearly,2 Ετήσια,
30 mins,30 λεπτά,
6 hrs,6 ώρες,
<b>Company</b> is a mandatory filter.,<b>Η εταιρεία</b> είναι υποχρεωτικό φίλτρο.,
<b>Example:</b> SAL-{first_name}-{date_of_birth.year} <br>This will generate a password like SAL-Jane-1972,<b>Παράδειγμα:</b> SAL- {first_name} - {date_of_birth.year} <br> Αυτό θα δημιουργήσει έναν κωδικό πρόσβασης όπως ο SAL-Jane-1972,
<b>From Date</b> is a mandatory filter.,<b>Από την ημερομηνία</b> είναι υποχρεωτικό φίλτρο.,
<b>From Time</b> cannot be later than <b>To Time</b> for {0},<b>Από το Χρόνο</b> δεν μπορεί να είναι αργότερα από Ο <b>χρόνος</b> για {0},
<b>To Date</b> is a mandatory filter.,<b>Η ημερομηνία</b> είναι υποχρεωτικό φίλτρο.,
A BOM with name {0} already exists for item {1}.,Υπάρχει ήδη ένα BOM με όνομα {0} για το στοιχείο {1}.,
A Customer Group exists with same name please change the Customer name or rename the Customer Group,Μια ομάδα πελατών υπάρχει με το ίδιο όνομα παρακαλώ να αλλάξετε το όνομα του πελάτη ή να μετονομάσετε την ομάδα πελατών,
A Default Service Level Agreement already exists.,Υπάρχει ήδη συμβατική συμφωνία επιπέδου υπηρεσιών.,
A Distributed Cost Center cannot be added in the Distributed Cost Center allocation table.,Δεν είναι δυνατή η προσθήκη ενός Κέντρου κατανεμημένου κόστους στον πίνακα κατανομής του Κέντρου κατανεμημένου κόστους.,
A Lead requires either a person's name or an organization's name,Ο μόλυβδος απαιτεί το όνομα ενός ατόμου ή το όνομα ενός οργανισμού,
A Negative,Μια αρνητική,
A Positive,Ένα θετικό,
"A Product or a Service that is bought, sold or kept in stock.","Ένα προϊόν ή μια υπηρεσία που αγοράζεται, πωλείται ή διατηρείται σε απόθεμα.",
A condition for a Shipping Rule,Μια συνθήκη για έναν κανόνα αποστολής,
A customer is already linked to this Member,Ένας πελάτης είναι ήδη συνδεδεμένος με αυτό το μέλος,
A customer with the same name already exists,Ένας πελάτης με το ίδιο όνομα υπάρχει ήδη,
A link to all the Locations in which the Crop is growing,Ένας σύνδεσμος προς όλες τις τοποθεσίες στις οποίες αναπτύσσεται η καλλιέργεια,
A logical Warehouse against which stock entries are made.,Μια λογική αποθήκη στην οποία θα γίνονται οι καταχωρήσεις αποθέματος,
A new appointment has been created for you with {0},Έχει δημιουργηθεί μια νέα συνάντηση για εσάς με {0},
A question must have more than one options,Μια ερώτηση πρέπει να έχει περισσότερες από μία επιλογές,
A qustion must have at least one correct options,Μια λύση πρέπει να έχει τουλάχιστον μία σωστή επιλογή,
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,"Ένας ανεξάρτητος διανομέας / αντιπρόσωπος / πράκτορας με προμήθεια / affiliate / μεταπωλητής, ο οποίος πωλεί τα προϊόντα της εταιρείας για μια προμήθεια.",
A {0} exists between {1} and {2} (,A {0} υπάρχει μεταξύ {1} και {2} (,
A+,A +,
A-,Α-,
A4,A4,
AB Negative,AB Αρνητικό,
AB Positive,AB θετικό,
